IV_CALLS,LTP_CALLS,STRIKE,LTP_PUTS,IV_PUTS
4.45,108.6,19200,85.95,13.05
5.7,83,19250,109.55,13.53
6.42,62.05,19300,138.15,13.89
6.89,44.95,19350,173.1,14.73
7.37,32.8,19400,209.05,15.4
7.82,23.95,19450,250.1,16.45
8.18,17.05,19500,293.05,17.63
8.57,12.2,19550,339.35,18.74
8.96,9.05,19600,385.05,20
9.33,6.6,19650,432.8,21.32
9.92,5.45,19700,476.05,22.97
10.67,4.95,19750,530.85,24.12
10.89,3.5,19800,578,25.19
11.46,3,19850,631.45,27.1
11.95,2.5,19900,677.95,28.01
12.81,2.55,19950,727.2,29.32
13.36,2.25,20000,780,31.05
13.43,1.55,20050,800.7,27.59
14.52,1.85,20100,880,33.7
15.5,2.05,20150,899.8,29.84
15.66,1.55,20200,966.05,33.97
17.18,1.6,20300,1028,28.46
17.61,1.4,20350,1058.45,22.67
18.55,1.55,20400,1149,35.47
18.93,1.35,20450,1211.05,39.02
19.88,1.5,20500,1258.75,39.71
22.55,1.45,20700,1426.5,36.16
23.81,1.4,20800,1520.15,35.95
25.24,1.45,20900,1611.6,34.09
26.12,1.25,21000,1776.95,54.52
27.7,0.9,21200,1911.65,39.3
28.76,0.85,21300,2042,52.43
31.36,0.9,21500,2259.3,60.94
